2015/04/09/09/10/01; 26711; 26750; 26708; 26708; 1349
2015/04/09/09/15/01; 26724; 26796; 26713; 26776; 3382
2015/04/09/09/20/01; 26773; 26860; 26771; 26794; 2458
2015/04/09/09/25/01; 26794; 26853; 26788; 26823; 2061
2015/04/09/09/30/01; 26825; 27076; 26822; 27069; 4309
2015/04/09/09/35/01; 27064; 27671; 27039; 27662; 3885
2015/04/09/09/40/01; 27656; 27999; 27604; 27736; 6111
2015/04/09/09/45/01; 27737; 27748; 27213; 27217; 4317
2015/04/09/09/50/01; 27214; 27419; 27203; 27352; 3879
2015/04/09/09/55/01; 27352; 27522; 27351; 27404; 3019
2015/04/09/10/00/01; 27404; 27456; 27380; 27390; 1815
2015/04/09/10/05/01; 27387; 27415; 27249; 27367; 2364
2015/04/09/10/10/01; 27369; 27413; 27328; 27395; 1797
2015/04/09/10/15/01; 27392; 27395; 27353; 27358; 1030
2015/04/09/10/20/01; 27357; 27371; 27128; 27177; 2063
2015/04/09/10/25/01; 27177; 27199; 26762; 26888; 3775
2015/04/09/10/30/01; 26885; 27008; 26885; 27003; 2384
2015/04/09/10/35/01; 27003; 27007; 26832; 26834; 1941
2015/04/09/10/40/01; 26832; 26931; 26790; 26895; 1927
2015/04/09/10/45/01; 26892; 26897; 26741; 26789; 2324
2015/04/09/10/50/01; 26790; 26926; 26790; 26890; 1630
2015/04/09/10/55/01; 26891; 26960; 26886; 26955; 998
2015/04/09/11/00/01; 26955; 27146; 26938; 27089; 1643
2015/04/09/11/05/01; 27087; 27158; 27067; 27107; 2083
2015/04/09/11/10/01; 27109; 27188; 27090; 27175; 1232
2015/04/09/11/15/01; 27177; 27178; 27120; 27150; 1617
2015/04/09/11/20/01; 27150; 27205; 27148; 27179; 797
2015/04/09/11/25/01; 27176; 27271; 27155; 27269; 1070
2015/04/09/11/30/01; 27270; 27374; 27270; 27317; 1607
2015/04/09/11/35/01; 27317; 27347; 27314; 27343; 443
2015/04/09/11/40/01; 27344; 27350; 27339; 27342; 469
2015/04/09/11/45/01; 27344; 27355; 27245; 27245; 886
2015/04/09/11/50/01; 27245; 27267; 27210; 27250; 842
2015/04/09/11/55/01; 27249; 27301; 27238; 27298; 744
2015/04/09/12/55/01; 27300; 27300; 27296; 27296; 48
2015/04/09/13/00/01; 27298; 27315; 27237; 27238; 851
2015/04/09/13/05/01; 27238; 27239; 27164; 27221; 988
2015/04/09/13/10/01; 27221; 27228; 27189; 27223; 747
2015/04/09/13/15/01; 27223; 27236; 27194; 27206; 647
2015/04/09/13/20/01; 27206; 27209; 27190; 27204; 547
2015/04/09/13/25/01; 27201; 27203; 27100; 27122; 1158
2015/04/09/13/30/01; 27123; 27137; 27064; 27100; 1209
2015/04/09/13/35/01; 27100; 27167; 27080; 27140; 964
2015/04/09/13/40/01; 27138; 27143; 27100; 27118; 838
2015/04/09/13/45/01; 27117; 27117; 27014; 27022; 1371
2015/04/09/13/50/01; 27023; 27049; 27000; 27018; 887
2015/04/09/13/55/01; 27016; 27049; 26996; 27042; 881
2015/04/09/14/00/01; 27044; 27085; 27042; 27077; 792
2015/04/09/14/05/01; 27079; 27107; 27068; 27102; 718
2015/04/09/14/10/01; 27102; 27114; 27055; 27058; 784
2015/04/09/14/15/01; 27058; 27093; 27049; 27052; 802
2015/04/09/14/20/01; 27052; 27060; 26985; 27023; 1211
2015/04/09/14/25/01; 27025; 27025; 26960; 26966; 1323
2015/04/09/14/30/01; 26965; 27012; 26955; 27005; 747
2015/04/09/14/35/01; 27008; 27111; 26982; 27088; 1353
2015/04/09/14/40/01; 27087; 27105; 27067; 27071; 675
2015/04/09/14/45/01; 27071; 27108; 27051; 27096; 1085
2015/04/09/14/50/01; 27098; 27240; 27097; 27169; 1470
2015/04/09/14/55/01; 27169; 27178; 27128; 27143; 691
2015/04/09/15/00/01; 27145; 27157; 27067; 27085; 504
2015/04/09/15/05/01; 27087; 27152; 27083; 27152; 621
2015/04/09/15/10/01; 27153; 27191; 27134; 27171; 642
2015/04/09/15/15/01; 27168; 27169; 27131; 27136; 561
2015/04/09/15/20/01; 27136; 27170; 27071; 27093; 864
2015/04/09/15/25/01; 27094; 27094; 26979; 27005; 1441
2015/04/09/15/30/01; 27004; 27025; 26974; 26999; 859
2015/04/09/15/35/01; 27001; 27057; 26994; 27019; 789
2015/04/09/15/40/01; 27020; 27024; 26955; 26970; 943
2015/04/09/15/45/01; 26967; 27000; 26960; 26993; 852
2015/04/09/15/50/01; 26990; 26990; 26912; 26965; 1451
2015/04/09/15/55/01; 26967; 27000; 26945; 26964; 1948
2015/04/09/16/00/01; 26962; 27004; 26958; 26991; 1305
2015/04/09/16/05/01; 26990; 27053; 26984; 27040; 1306
2015/04/09/16/10/01; 27039; 27080; 27027; 27073; 1115
